,protocol,io,srcport,dstport,payload
456,1,0,0,443,60.08352144469526
457,1,1,443,0,0.1082858212992634
458,1,1,443,0,3.798139747804736
459,1,0,0,443,10.595936794582393
460,1,1,443,0,3.8140580132340087
461,1,0,0,443,10.595936794582393
462,1,1,443,0,0.6503807898788964
463,1,0,0,443,10.595936794582393
464,1,1,443,0,3.3245037246660285
465,1,0,0,443,10.595936794582393
466,1,0,0,443,29.41083521444695
467,1,0,0,443,125.93227990970655
468,1,1,443,0,0.9191185650672105
469,1,0,0,443,9.44469525959368
470,1,1,443,0,0.1082858212992634
471,1,1,443,0,0.9562611844021807
472,1,0,0,443,10.020316027088036
473,1,1,443,0,3.9201797827624953
474,1,0,0,443,10.020316027088036
475,1,1,443,0,11.533355528736111
476,1,0,0,443,10.020316027088036
477,1,1,443,0,3.9095676058096465
478,1,0,0,443,10.020316027088036
479,1,1,443,0,3.9042615173332225
480,1,0,0,443,10.020316027088036
481,1,1,443,0,3.914873694286071
482,1,0,0,443,9.44469525959368
483,1,1,443,0,3.7875275708518874
484,1,0,0,443,9.44469525959368
485,1,1,443,0,7.546360647550876
486,1,0,0,443,10.020316027088036
487,1,0,0,443,9.428893905191874
488,1,1,443,0,1.9031378750676267
489,1,0,0,443,10.020316027088036
490,1,1,443,0,3.967934579050314
491,1,0,0,443,9.44469525959368
492,1,1,443,0,3.8405884556161305
493,1,0,0,443,9.44469525959368
494,1,1,443,0,3.9201797827624953
495,1,0,0,443,9.44469525959368
496,1,1,443,0,3.9042615173332225
497,1,0,0,443,9.44469525959368
498,1,1,443,0,3.9732406675267384
499,1,0,0,443,9.44469525959368
500,1,1,443,0,7.525136293645179
501,1,0,0,443,8.869074492099323
502,1,1,443,0,7.51452411669233
503,1,0,0,443,8.869074492099323
504,1,1,443,0,7.684318947937908
505,1,0,0,443,9.44469525959368
506,1,1,443,0,7.578197178409422
507,1,0,0,443,9.44469525959368
508,1,1,443,0,7.769216363560697
509,1,0,0,443,10.020316027088036
510,1,1,443,0,7.8541137791834865
511,1,0,0,443,10.020316027088036
512,1,1,443,0,7.6684006825086355
513,1,0,0,443,10.020316027088036
514,1,1,443,0,7.71084939032003
515,1,0,0,443,10.595936794582393
516,1,1,443,0,7.6684006825086355
517,1,0,0,443,10.595936794582393
518,1,1,443,0,7.6100337092679675
519,1,0,0,443,11.17155756207675
520,1,1,443,0,7.6684006825086355
521,1,0,0,443,11.17155756207675
522,1,1,443,0,7.742685921178576
523,1,0,0,443,10.595936794582393
524,1,1,443,0,7.811665071372092
525,1,0,0,443,10.595936794582393
526,1,1,443,0,7.721461567272879
527,1,0,0,443,10.595936794582393
528,1,1,443,0,3.588580465271131
529,1,0,0,443,15.72234762979684
530,1,0,0,443,11.17155756207675
531,2,1,0,0,4188
532,1,1,0,80,53.95
533,1,1,0,80,60.325
534,1,1,0,80,862.975
535,1,0,80,0,0.09129583766078134
536,1,1,0,80,1042.7
537,1,0,80,0,0.09129219093269422
538,1,0,80,0,7.448172558418214
539,1,1,0,80,57.1375
540,1,0,80,0,0.08623032046671461
541,1,0,80,0,0.10150225738143753
542,1,1,443,0,0.07139290024553664
543,2,1,0,0,6118
544,1,0,0,443,8.851015801354402
545,1,0,80,0,17.76226332188224
546,1,1,0,80,63.5125
547,1,0,80,0,13.659243428936646
548,1,1,0,80,63.5125
549,1,1,0,80,1020.7125
